Time (s),Target RTD,Measured RTD,PWM (%)
17.170743227005005,150.0,145.21,47.1
17.18109154701233,150.0,145.65,45.8
17.190394163131714,150.0,146.84,42.4
17.200454473495483,150.0,145.06,47.5
17.210865259170532,150.0,144.33,49.6
17.221097946166992,150.0,145.06,47.5
17.23080801963806,150.0,145.36,46.7
17.250382661819458,150.0,146.24,44.1
17.25261163711548,150.0,144.48,49.3
17.2621910572052,150.0,145.06,47.6
17.270332098007202,150.0,145.06,47.6
17.280544757843018,150.0,144.48,49.3
17.290836811065674,150.0,143.9,51.0
17.30033302307129,150.0,145.06,47.6
17.310144901275635,150.0,146.24,44.2
17.320233583450317,150.0,145.06,47.7
17.33043360710144,150.0,145.36,46.8
17.340983390808105,150.0,145.06,47.7
17.357444524765015,150.0,146.24,44.3
17.364680767059326,150.0,145.95,45.1
17.37235927581787,150.0,145.8,45.6
17.380762338638306,150.0,146.24,44.3
17.39093589782715,150.0,146.24,44.3
17.40029549598694,150.0,144.92,48.2
17.410401344299316,150.0,145.36,46.9
17.420608520507812,150.0,144.48,49.5
17.43089747428894,150.0,145.65,46.1
17.440577507019043,150.0,145.8,45.7
17.44965124130249,150.0,146.24,44.4
17.46433401107788,150.0,145.06,47.8
17.476966857910156,150.0,145.5,46.5
17.48201036453247,150.0,146.09,44.8
17.49049735069275,150.0,142.02,56.7
17.50053310394287,150.0,145.06,47.9
17.510599613189697,150.0,145.65,46.2
17.520707607269287,150.0,146.09,44.9
17.530776023864746,150.0,145.65,46.2
17.540387868881226,150.0,146.24,44.5
17.550610542297363,150.0,145.06,47.9
17.559654474258423,150.0,144.04,50.9
17.57581877708435,150.0,145.65,46.2
17.58517575263977,150.0,145.06,47.9
17.59119176864624,150.0,146.24,44.5
17.60045623779297,150.0,146.24,44.5
17.610482454299927,150.0,145.06,48.0
17.620505571365356,150.0,146.24,44.6
17.630531549453735,150.0,146.24,44.6
17.641058683395386,150.0,143.9,51.4
17.65008234977722,150.0,145.95,45.5
17.660159587860107,150.0,145.36,47.2
17.67019772529602,150.0,146.24,44.6
17.684393167495728,150.0,145.36,47.2
17.693533182144165,150.0,146.84,42.9
17.70073175430298,150.0,146.84,42.9
17.711082935333252,150.0,146.24,44.7
17.720178604125977,150.0,146.84,42.9
17.730215787887573,150.0,146.24,44.7
17.740784645080566,150.0,146.24,44.7
17.750864505767822,150.0,147.13,42.1
17.76020073890686,150.0,146.54,43.8
17.770277500152588,150.0,151.07,30.7
17.791727542877197,150.0,146.24,44.7
17.79647469520569,150.0,146.24,44.7
17.804263591766357,150.0,145.06,48.1
17.81040120124817,150.0,146.54,43.9
17.82043743133545,150.0,145.06,48.2
17.830034732818604,150.0,146.84,43.0
17.8406081199646,150.0,145.8,46.1
17.850727081298828,150.0,146.24,44.8
17.860840797424316,150.0,146.24,44.8
17.870460033416748,150.0,146.24,44.8
17.880146980285645,150.0,144.77,49.1
17.896917581558228,150.0,146.84,43.1
17.902960062026978,150.0,146.24,44.8
17.912829399108887,150.0,148.03,39.6
17.9202778339386,150.0,146.24,44.8
17.930914402008057,150.0,146.24,44.9
17.9405837059021,150.0,146.24,44.9
17.95068383216858,150.0,146.24,44.9
17.960776805877686,150.0,142.31,56.3
17.970935344696045,150.0,146.24,44.9
17.980103731155396,150.0,146.84,43.2
17.990206718444824,150.0,146.24,44.9
18.007970333099365,150.0,146.24,44.9
18.013970136642456,150.0,145.21,47.9
